목적지명,목적지X좌표,목적지Y좌표,목적지시군구명,목적지읍면동명,대분류,중분류,소분류,festival_period,방문건수
계룡산동학사스타펜션,127.24325179768738,36.36038457248373,공주시,반포면,여행/레저,숙박,펜션,1,0.4117647058823529
계룡산동학사펜션,127.24318494178168,36.36029789212338,공주시,반포면,여행/레저,숙박,펜션,1,0.29411764705882354
계룡산드림펜션,127.255164101279,36.3614361087892,공주시,반포면,여행/레저,숙박,펜션,0,0.10714285714285714
계룡산드림펜션,127.255164101279,36.3614361087892,공주시,반포면,여행/레저,숙박,펜션,1,0.17647058823529413
계룡산마루펜션,127.2190893,36.3900986,공주시,반포면,여행/레저,숙박,펜션,1,0.17647058823529413
계룡산묵사랑,127.14970494112332,36.4351857266916,공주시,옥룡동,생활편의,음식점,한식,0,0.10714285714285714
계룡산묵사랑,127.14970494112332,36.4351857266916,공주시,옥룡동,생활편의,음식점,한식,1,0.35294117647058826
계룡산사계절펜션,127.1680102,36.3315563,공주시,계룡면,여행/레저,숙박,펜션,0,1.1428571428571428
계룡산사계절펜션,127.1680102,36.3315563,공주시,계룡면,여행/레저,숙박,펜션,1,2.764705882352941
계룡산산내음펜션,127.17214619779315,36.37153444472153,공주시,계룡면,여행/레저,숙박,펜션,0,0.10714285714285714
계룡산쉴만한물가펜션,127.2553438,36.36136,공주시,반포면,여행/레저,숙박,펜션,0,0.25
계룡산쉴만한물가펜션,127.2553438,36.36136,공주시,반포면,여행/레저,숙박,펜션,1,0.5294117647058824
계룡산식당,127.23529251213444,36.35705676868764,공주시,반포면,생활편의,음식점,한식,0,0.2857142857142857
계룡산의아침,127.23786011874,36.3574642372478,공주시,반포면,여행/레저,숙박,펜션,0,0.6071428571428571
계룡산자동차야영장,127.2417764352137,36.35771423174882,공주시,반포면,여행/레저,레저/스포츠,캠프장,0,0.3571428571428571
계룡산자동차야영장,127.2417764352137,36.35771423174882,공주시,반포면,여행/레저,레저/스포츠,캠프장,1,0.23529411764705882
계룡산장추어탕,127.25147681476852,36.36495761958389,공주시,반포면,생활편의,음식점,한식,0,0.10714285714285714
계룡산제빵소,127.139396690445,36.3525753316874,공주시,계룡면,생활편의,음식점,제과점,0,1.3214285714285714
계룡산제빵소,127.139396690445,36.3525753316874,공주시,계룡면,생활편의,음식점,제과점,1,1.1764705882352942
계룡산콘도텔,127.23749903995896,36.35743646051598,공주시,반포면,여행/레저,숙박,모텔/여관,1,0.17647058823529413
계룡산한우곰탕,127.251969948847,36.360519527719,공주시,반포면,생활편의,음식점,한식,1,0.17647058823529413
계룡산해피투게더펜션,127.251386680798,36.3590196950702,공주시,반포면,여행/레저,숙박,펜션,0,0.8214285714285714
계룡산힐링펜션,127.247886981008,36.3602139829736,공주시,반포면,여행/레저,숙박,펜션,0,0.10714285714285714
계룡산힐링펜션,127.2478955357298,36.36021234929804,공주시,반포면,여행/레저,숙박,펜션,0,0.10714285714285714
계룡저수지,127.1538675769242,36.35815811293434,공주시,계룡면,여행/레저,관광명소,저수지,0,1.357142857142857
계룡저수지,127.1538675769242,36.35815811293434,공주시,계룡면,여행/레저,관광명소,저수지,1,2.6470588235294117
계실리마을회관,127.046236879318,36.514806292421,공주시,사곡면,기업/단체,사회시설,회관,1,0.17647058823529413
고가네칼국수,127.123480544147,36.453480405109,공주시,중학동,생활편의,음식점,한식,0,1.5714285714285714
고가네칼국수,127.123480544147,36.453480405109,공주시,중학동,생활편의,음식점,한식,1,4.176470588235294
고기백화점,127.133007311199,36.4717006045515,공주시,신관동,쇼핑,시장,농수축산물시장,0,0.10714285714285714
고기백화점,127.133007311199,36.4717006045515,공주시,신관동,쇼핑,시장,농수축산물시장,1,0.7058823529411765
고기사랑셀프식당,127.123952751799,36.4503974261368,공주시,중학동,생활편의,음식점,한식,1,0.17647058823529413
고기정원,127.0420937282463,36.47228211972313,공주시,사곡면,생활편의,음식점,전문음식점,0,0.5
