목적지명,목적지X좌표,목적지Y좌표,목적지시군구명,목적지읍면동명,대분류,중분류,소분류,festival_period,방문건수
나태주풀꽃문학관,127.11994671199244,36.453618506343645,공주시,중학동,생활편의,문화생활시설,문화생활시설기타,2,3
남성식당,127.14685730731532,36.49798818565158,공주시,의당면,생활편의,음식점,한식,0,4
남양화학공업,127.129339639421,36.619683686357,공주시,정안면,기업/단체,업종별기업,화학,0,19
남양화학공업,127.129339639421,36.619683686357,공주시,정안면,기업/단체,업종별기업,화학,1,10
남양화학공업,127.129339639421,36.619683686357,공주시,정안면,기업/단체,업종별기업,화학,2,16
내고향묵집,127.2546879777189,36.39574949751163,공주시,반포면,생활편의,음식점,한식,1,5
내재,127.180003365902,36.445148351788,공주시,옥룡동,생활편의,카페,카페기타,0,28
내재,127.180003365902,36.445148351788,공주시,옥룡동,생활편의,카페,카페기타,1,49
내재,127.180003365902,36.445148351788,공주시,옥룡동,생활편의,카페,카페기타,2,17
넘버25호텔,127.128702150619,36.470395172816,공주시,신관동,여행/레저,숙박,모텔/여관,0,87
넘버25호텔,127.128702150619,36.470395172816,공주시,신관동,여행/레저,숙박,모텔/여관,1,24
넘버25호텔,127.128702150619,36.470395172816,공주시,신관동,여행/레저,숙박,모텔/여관,2,10
노가드네,127.21659526896492,36.41306598366211,공주시,반포면,생활편의,음식점,한식,0,20
노가드네,127.21659526896492,36.41306598366211,공주시,반포면,생활편의,음식점,한식,1,29
노가드네,127.21659526896492,36.41306598366211,공주시,반포면,생활편의,음식점,한식,2,10
노라쥬,127.120118055141,36.6400701906947,공주시,정안면,여행/레저,관광명소,동식물원,0,68
노라쥬,127.120118055141,36.6400701906947,공주시,정안면,여행/레저,관광명소,동식물원,1,28
노라쥬,127.120118055141,36.6400701906947,공주시,정안면,여행/레저,관광명소,동식물원,2,12
노랑오리농업회사법인,126.948245775315,36.4965578134883,공주시,신풍면,기업/단체,업종별기업,음식료업,2,3
노브랜드/공주신관동점,127.14002528101588,36.47693618076176,공주시,신관동,쇼핑,슈퍼/마트,슈퍼/마트 기타,0,90
노브랜드/공주신관동점,127.14002528101588,36.47693618076176,공주시,신관동,쇼핑,슈퍼/마트,슈퍼/마트 기타,1,33
노브랜드/공주신관동점,127.140089966966,36.4769500470407,공주시,신관동,쇼핑,슈퍼/마트,슈퍼/마트 기타,1,58
노브랜드/공주신관동점,127.140089966966,36.4769500470407,공주시,신관동,쇼핑,슈퍼/마트,슈퍼/마트 기타,2,26
노브랜드버거/공주신관점,127.140256648866,36.473589320282,공주시,신관동,생활편의,음식점,패스트푸드,0,6
