목적지명,목적지X좌표,목적지Y좌표,목적지시군구명,목적지읍면동명,대분류,중분류,소분류,방문건수
인방산업,126.587245974693,36.9938598813858,당진시,석문면,기업/단체,업종별기업,업종별기업기타,3
인생극장/당진수청점,126.652685468524,36.88751136377,당진시,당진1동,생활편의,음식점,한식,16
인생보따리,126.694598209002,36.9061761234618,당진시,송악읍,생활편의,술집,포장마차/실내포장마차,3
인생살롱,126.6204936947858,36.89765595151714,당진시,당진2동,생활편의,생활서비스,미용실,3
인생은고기서고기다,126.784895345053,36.9415059144688,당진시,송악읍,생활편의,음식점,한식,3
인성/당진공장,126.748233077574,36.81618675857576,당진시,합덕읍,기업/단체,업종별기업,철강 금속,32
인지에이엠티,126.778784681501,36.9528101360442,당진시,송악읍,기업/단체,업종별기업,제조업,92
인천식당/[한식],126.766286834482,36.8366567349236,당진시,순성면,생활편의,음식점,한식,3
인키친,126.64667255344494,36.88712709944093,당진시,당진1동,생활편의,음식점,세계요리,12
인텔리소프트,126.578581008346,36.8878442434449,당진시,정미면,기업/단체,업종별기업,제조업,3
인피니티호텔,126.645769305897,36.9008986758237,당진시,당진1동,여행/레저,숙박,모텔/여관,163
일공공키친/당진점,126.684793574164,36.9015654863848,당진시,당진3동,생활편의,음식점,한식,29
일교문구센터,126.626104474938,36.8928717095917,당진시,당진1동,쇼핑,문화용품,문구/화방,9
일도교회,126.581720090621,36.8327117043371,당진시,정미면,생활편의,종교,교회시설,4
일등참숯갈비,126.65292472436188,36.922141182123255,당진시,송산면,생활편의,음식점,한식,3
일루아,126.68500400815611,36.84444910165296,당진시,순성면,생활편의,카페,카페기타,12
일미꼬치,126.775147381309,36.8105764441494,당진시,우강면,생활편의,술집,꼬치전문점,3
일미리금계찜닭/당진점,126.64504729416,36.8842061448522,당진시,당진2동,생활편의,음식점,전문음식점,17
일신정공,126.585301696118,36.9948875300004,당진시,석문면,기업/단체,업종별기업,제조업,10
일신케미칼/당진공장,126.5805149540987,36.88978226474912,당진시,정미면,기업/단체,업종별기업,화학,36
자가제빵선명희피자/충남당진점,126.639603277199,36.8912330848238,당진시,당진1동,생활편의,음식점,패스트푸드,3
자강산업/신평공장,126.80038099341527,36.880448008627255,당진시,신평면,기업/단체,업종별기업,화학,72
자담치킨/당진현대제철점,126.702707994894,36.973751737294,당진시,송산면,생활편의,음식점,치킨,3
자연산미꾸라지,126.53933497708942,36.83607219472954,당진시,정미면,생활편의,음식점,한식,12
자연소리당진한우,126.773119824862,36.8060769487009,당진시,합덕읍,쇼핑,시장,농수축산물시장,3
자연소리당진한우/2호점,126.67940553818,36.859403631193,당진시,순성면,생활편의,음식점,한식,47
자우리호텔/당진점,126.59188457126,36.979583771878,당진시,석문면,여행/레저,숙박,호텔,108
자작나무,126.636020206008,36.8980656130766,당진시,당진1동,생활편의,술집,술집기타,3
작심독서실/충남당진점,126.645463772438,36.9015097150133,당진시,당진1동,생활편의,문화생활시설,독서실,3
장가네,126.61102190086172,36.86954019557692,당진시,당진2동,생활편의,음식점,한식,3
장고목,126.55821226060056,37.03266695083214,당진시,석문면,생활편의,카페,카페기타,189
장고펜션,126.55990847553596,37.03059860529005,당진시,석문면,여행/레저,숙박,펜션,3
장고항,126.56037083491992,37.0335437807509,당진시,석문면,교통편의,교통시설,항구,6202
장고항1리마을회관,126.564831051884,37.0250228361385,당진시,석문면,기업/단체,사회시설,회관,7
장고항2리마을회관,126.560025902732,37.0279946892968,당진시,석문면,기업/단체,사회시설,회관,6
장고항교회,126.562025747056,37.0252172424356,당진시,석문면,생활편의,종교,교회시설,3
