목적지명,목적지X좌표,목적지Y좌표,목적지시군구명,목적지읍면동명,대분류,중분류,소분류,방문건수
공주치즈스쿨,126.940246527071,36.4921416055392,공주시,신풍면,여행/레저,관광명소,체험학습,18
공주푸르메요양병원,127.090150568453,36.4093741302667,공주시,금학동,의료편의,의료시설,일반병원,81
공주하늘펜션,127.021905577123,36.530359931374,공주시,사곡면,여행/레저,숙박,펜션,3
공주하숙마을,127.12318444807528,36.45219665630786,공주시,중학동,여행/레저,숙박,숙박기타,52
공주학생수영장,127.17394800576,36.4833939545731,공주시,월송동,여행/레저,레저/스포츠,수영장,74
공주한옥마을,127.108481779296,36.4647290348646,공주시,웅진동,여행/레저,관광명소,고택/생가/민속마을,1305
공주환경성건강센터,127.12639456013324,36.43055471497616,공주시,금학동,의료편의,기타의료시설,기타의료시설기타,80
공주효센터,127.050987946874,36.3454367477029,공주시,이인면,기업/단체,사회시설,사회복지시설,6
공주휴게소/당진방향,127.16517087254948,36.49861438885444,공주시,의당면,교통편의,교통시설,고속도로휴게소,104
공주휴게소/대전방향,127.16667060863466,36.49679561726721,공주시,월송동,교통편의,교통시설,고속도로휴게소,41
공차/공주대점,127.139423387486,36.473839286903,공주시,신관동,생활편의,카페,공차,9
공휴스테이,127.22429029277748,36.39773776619219,공주시,반포면,여행/레저,숙박,펜션,4
관풍정,127.1096761107206,36.46547895625608,공주시,웅진동,여행/레저,레저/스포츠,양궁/국궁,85
괌모텔,127.150922635038,36.443509479804,공주시,옥룡동,여행/레저,숙박,모텔/여관,3
광명리노인회관,127.066236717854,36.3309107118558,공주시,탄천면,기업/단체,사회시설,사회복지시설,3
광장순대,127.123397184078,36.4573133007952,공주시,웅진동,생활편의,음식점,한식,3
광정파크,127.12281257843814,36.604824234909394,공주시,정안면,여행/레저,숙박,모텔/여관,28
교동면옥/공주신관점,127.13983232389552,36.474603457953165,공주시,신관동,생활편의,음식점,한식,135
교동짬뽕/귀산리점 [중식],127.1119218784861,36.49820622713023,공주시,우성면,생활편의,음식점,중식,3
교촌치킨/신관점,127.14283974649976,36.47422815137925,공주시,신관동,생활편의,음식점,치킨,4
구룡가든,127.18492004216728,36.39520962811196,공주시,계룡면,생활편의,음식점,한식,19
구룡사,126.967605281603,36.482726169798,공주시,신풍면,생활편의,종교,절,691
구선교사가옥,127.12650808806,36.4494808788609,공주시,중학동,여행/레저,관광명소,문화유적지,7
구이산,127.2514485,36.3661664,공주시,반포면,생활편의,음식점,한식,39
국립공주대학교/공주신관캠퍼스,127.13997893655936,36.46903428270254,공주시,신관동,공공편의,교육기관,대학교,3897
국립공주대학교/옥룡캠퍼스,127.13275751197769,36.45170288404132,공주시,옥룡동,공공편의,교육기관,대학교,92
국립공주박물관,127.112231438257,36.46553452032348,공주시,웅진동,생활편의,문화생활시설,박물관/기념관,2165
국립공주병원,127.11056548477228,36.40190287767855,공주시,금학동,의료편의,의료시설,일반병원,370
국립법무병원,127.239109506606,36.413235669638,공주시,반포면,의료편의,의료시설,정신병원,895
국수정,127.13964138621144,36.47379231433297,공주시,신관동,생활편의,음식점,한식,18
굽네치킨/공주중동점,127.12390672273044,36.45470317920204,공주시,중학동,생활편의,음식점,치킨,5
굿나루모텔,127.14351774493866,36.46209406966487,공주시,신관동,여행/레저,숙박,모텔/여관,26
굿모닝펜션,127.021683372499,36.530609901544,공주시,사곡면,여행/레저,숙박,펜션,3
궁전MOTEL,127.250053397093,36.3666854810064,공주시,반포면,여행/레저,숙박,모텔/여관,3
궁전모텔,127.122980508946,36.4624238265659,공주시,웅진동,여행/레저,숙박,모텔/여관,25
궁중떡집,127.124174896335,36.4568966861712,공주시,웅진동,생활편의,음식점,떡/한과,3
귀네미시래기명태찜,127.25000694367398,36.3606049801026,공주시,반포면,생활편의,음식점,한식,4
귀빈식당,127.01976664844,36.556356949543,공주시,사곡면,생활편의,음식점,한식,36
귀연당,127.1532642,36.5547769,공주시,의당면,생활편의,음식점,한식,12
그때그때카페,127.107509716524,36.456535519405,공주시,웅진동,생활편의,카페,카페기타,13
그랜드재활요양원,126.9540685626605,36.55098041285872,공주시,유구읍,의료편의,기타의료시설,요양원,3
그루잠/공주점,127.254997069678,36.4036257470474,공주시,반포면,생활편의,카페,카페기타,17
그리드,127.255608267163,36.388016417661,공주시,반포면,생활편의,카페,카페기타,23
그리심글램핑장,127.14778824171589,36.58915622788467,공주시,정안면,여행/레저,레저/스포츠,캠프장,9
그린파크,126.951356158169,36.547996400162,공주시,유구읍,여행/레저,숙박,모텔/여관,3
그린홈,127.142395337148,36.4747280917537,공주시,신관동,쇼핑,건축자재,인테리어,3
근영푸드,127.10867801028496,36.50727852012203,공주시,우성면,기업/단체,업종별기업,음식료업,3
금강6경(고마나루솔밭)/웅진지구1,127.103343334595,36.4662288339297,공주시,웅진동,여행/레저,관광명소,관광명소기타,3
금강기사식당,127.12370666434992,36.46120857817597,공주시,웅진동,생활편의,음식점,한식,3
금강사회복지관,127.134257408197,36.4483699395413,공주시,옥룡동,기업/단체,사회시설,사회복지시설,8
금강신관공원,127.131035302021,36.4675066270259,공주시,신관동,여행/레저,관광명소,공원,7885
금강신관공원/축구장,127.135896004456,36.4648125182224,공주시,신관동,여행/레저,레저/스포츠,운동장/체육관,9
금강신관공원야구장,127.134090600697,36.4658123936467,공주시,신관동,여행/레저,레저/스포츠,운동장/체육관,4
금강아트센터,127.20211886051408,36.42894986263316,공주시,반포면,생활편의,문화생활시설,화랑/전시관,12
금강약국,127.13781242254,36.473533756799,공주시,신관동,의료편의,기타의료시설,약국,3
금강억새단지,127.04590969963698,36.41673732531675,공주시,우성면,여행/레저,관광명소,관광명소기타,6
금강온천,127.1075652098133,36.462979229148,공주시,웅진동,여행/레저,관광명소,온천,219
금강온천모텔,127.107315229847,36.4632291991813,공주시,웅진동,여행/레저,숙박,모텔/여관,3
금강의아침펜션,127.07473861135696,36.4444467941877,공주시,금학동,여행/레저,숙박,펜션,3
금계캠핑장,126.983602486986,36.6375974539771,공주시,유구읍,여행/레저,여행/레저기타,여행/레저기타,77
금동산미술관,127.12336715294737,36.60821560517111,공주시,정안면,생활편의,문화생활시설,미술관,3
금성낙지,127.12174586122973,36.46659640199815,공주시,웅진동,생활편의,음식점,전문음식점,3
금성모텔,127.12155747390185,36.46228107005514,공주시,웅진동,여행/레저,숙박,모텔/여관,9
금성회관,127.131757447048,36.4689509109296,공주시,신관동,생활편의,음식점,한식,22
금정알밤농원,127.109508605946,36.5608291828172,공주시,정안면,건물/시설,농/어업,농장/농원,5
금학생태공원,127.12412030726978,36.43357365283556,공주시,금학동,여행/레저,관광명소,공원,47
기산1리소와리경로당,127.151645277493,36.3891267940954,공주시,계룡면,기업/단체,사회시설,사회복지시설,3
기산저수지,127.13364692614,36.3837106401688,공주시,계룡면,여행/레저,관광명소,저수지,4
기찬메밀국수,127.25638617649,36.3657134067042,공주시,반포면,생활편의,음식점,한식,38
길갈,127.1215646423542,36.45018337982842,공주시,중학동,생활편의,음식점,일식,62
김밥천국/신관터미널점,127.134423878798,36.468673180378,공주시,신관동,생활편의,음식점,분식,10
