is_weekend,목적지명_통합,목적지X좌표,목적지Y좌표,표시용행정구역,방문건수,festival_period,요일
1,역전우동0410/충남부여점,126.910804836731,36.2804002199892,부여읍,2.0,1,Sunday
1,역전할머니맥주/충남부여점,126.911076330038,36.2804797269967,부여읍,1.0,2,Saturday
1,연꽃이야기,126.9065461,36.268563,부여읍,43.0,1,Saturday
1,연꽃향/[한식],126.91317880274204,36.27392950540751,부여읍,5.0,1,Saturday
1,연돈볼카츠/예산시장점,126.84947395375956,36.67723239450468,충청남도 예산군,1.0,1,Saturday
1,연미산자연미술공원,127.10260476268768,36.47355484061,충청남도 공주시,1.0,0,Saturday
1,연산시장도토리묵,127.216092141083,36.2160335521404,충청남도 논산시,1.0,2,Sunday
1,연잎담,126.9012143,36.2748273,부여읍,19.0,0,Saturday
1,열화초불닭/성정점,127.135471164661,36.8205276254682,충청남도 천안시,1.0,1,Saturday
1,영일루,126.887808627358,36.2740550705796,규암면,1.0,1,Saturday
1,영통공영주차장,127.074205609729,37.2531957057784,경기도 수원시,1.0,0,Saturday
1,영통이모네조개구이,127.064690140537,37.2614836743255,경기도 수원시,1.0,1,Saturday
1,영풍문고/군산롯데아울렛점,126.73982429033008,35.97610960436819,전라북도 군산시,1.0,1,Sunday
1,예당관광지,126.800189631861,36.6372352084023,충청남도 예산군,1.0,1,Saturday
1,예당저수지,126.80802160005004,36.59739611328235,충청남도 예산군,2.0,2,Saturday
1,예산상설시장,126.84974907731583,36.67670107488237,충청남도 예산군,20.0,1,Saturday
1,예산종합병원,126.83808426493178,36.69103266732064,충청남도 예산군,1.0,1,Saturday
1,예산종합운동장,126.861739508201,36.6761325677693,충청남도 예산군,1.0,1,Sunday
1,옛날통닭,126.91100096822096,36.27891575720173,부여읍,9.0,0,Saturday
1,오늘도달콤하게,127.090480056702,36.2016238134502,충청남도 논산시,1.0,0,Saturday
1,오늘제빵소/대전점,127.30667950780388,36.28943962923193,대전광역시 유성구,1.0,1,Sunday
1,오대양횟집,126.913139651579,36.2807211190645,부여읍,1.0,1,Saturday
1,오두막집,126.908612233856,36.2857205243626,부여읍,1.0,1,Sunday
1,오모리찌개/둔산점,127.38877283037998,36.34939067204128,대전광역시 서구,1.0,1,Sunday
