목적지명,목적지X좌표,목적지Y좌표,목적지시군구명,목적지읍면동명,대분류,중분류,소분류,방문건수
서천금빛노을서울캠핑장,126.718881077303,36.0459689895983,서천군,마서면,여행/레저,레저/스포츠,캠프장,34
서천김안과의원,126.688300225027,36.0748822067617,서천군,서천읍,의료편의,의료시설,의원,3
서천다옴리조트펜션,126.667719137548,36.022749134569,서천군,장항읍,여행/레저,숙박,펜션,3
서천달이빛나는밤에호텔,126.72690849293,36.002585072423,서천군,장항읍,여행/레저,숙박,모텔/여관,34
서천문예의전당,126.69821599894,36.0764098636408,서천군,서천읍,기업/단체,사회시설,회관,9
서천문화원,126.700076894732,36.0826036137648,서천군,서천읍,생활편의,문화생활시설,문화원,10
서천바다향기펜션,126.6313639,36.0934065,서천군,종천면,여행/레저,숙박,펜션,8
서천봄마트정육,126.690772225966,36.0751044168726,서천군,서천읍,쇼핑,음식료,정육점,3
서천비치텔,126.502343973972,36.144456644533,서천군,서면,여행/레저,숙박,모텔/여관,9
서천성당,126.6973271804368,36.0774652944595,서천군,서천읍,생활편의,종교,성당시설,3
서천송림갯벌체험장,126.665191572737,36.0241656269223,서천군,장항읍,여행/레저,관광명소,체험학습,3
서천수산물특화시장제2주차장,126.688883510157,36.074437815947,서천군,서천읍,교통편의,자동차시설,주차장,35
서천오션플레이스,126.634193865167,36.0815756032535,서천군,마서면,여행/레저,레저/스포츠,캠프장,10
서천유스호스텔,126.66591374642664,36.02222140722386,서천군,장항읍,여행/레저,숙박,유스호스텔,72
서천장애인종합복지관,126.656080589617,36.1089614929842,서천군,종천면,기업/단체,사회시설,사회복지시설,7
서천종합운동장,126.6627470755197,36.05782845449361,서천군,마서면,여행/레저,레저/스포츠,운동장/체육관,180
서천치유의숲/치유센터,126.659969085295,36.114877507272,서천군,종천면,기업/단체,각종단체,센터,193
서천특화시장,126.68702758891664,36.07476587200941,서천군,서천읍,쇼핑,시장,시장기타,5638
서천특화시장특산품,126.68682731967982,36.07512014325988,서천군,서천읍,쇼핑,쇼핑기타,쇼핑기타,3
서천파인트리글램핑,126.57318157740131,36.140644885735895,서천군,서면,여행/레저,레저/스포츠,캠프장,17
